spacer_mm,leg,pose,spin_deg,gap_mm,collision
20,front_r,neutral,134.0,15.440185434447534,False
20,front_r,neutral,136.0,15.239826731477525,False
20,front_r,neutral,138.0,15.047619070051994,False
20,front_r,neutral,140.0,14.864085310923407,False
20,front_r,neutral,142.0,14.690095711870871,False
20,front_r,neutral,144.0,14.532540773935791,False
20,front_r,neutral,146.0,14.39315338985757,False
20,front_r,neutral,148.0,14.270865615118836,False
20,front_r,neutral,150.0,14.164865714491704,False
20,front_r,neutral,152.0,14.077108509932222,False
20,front_r,neutral,154.0,14.003365706002246,False
20,front_r,neutral,156.0,13.93972803205493,False
20,front_r,neutral,158.0,13.885875198085973,False
20,front_r,neutral,160.0,13.842127023869685,False
20,front_r,neutral,162.0,13.80879241647821,False
20,front_r,neutral,164.0,13.786169583831345,False
20,front_r,neutral,166.0,13.774546152267366,False
20,front_r,neutral,168.0,13.774196333771789,False
20,front_r,neutral,170.0,13.785702143801556,False
20,front_r,neutral,172.0,13.811965309338136,False
20,front_r,neutral,174.0,13.845418061551559,False
20,front_r,neutral,176.0,13.856928427179474,False
20,front_r,neutral,178.0,13.861998910191122,False
20,front_r,neutral,180.0,13.855760181315846,False
20,front_r,neutral,182.0,13.83591604123173,False
20,front_r,neutral,184.0,13.812495949592034,False
20,front_r,neutral,186.0,13.77073248608677,False
20,front_r,neutral,188.0,13.730721121873193,False
20,front_r,neutral,190.0,13.669558147343265,False
20,front_r,neutral,192.0,13.61355656650293,False
20,front_r,neutral,194.0,13.535243300245407,False
20,front_r,neutral,196.0,13.463722451033986,False
20,front_r,neutral,198.0,13.370027859649845,False
20,front_r,neutral,200.0,13.283595649422914,False
20,front_r,neutral,202.0,13.175739034108318,False
20,front_r,neutral,204.0,13.076101660959662,False
20,front_r,neutral,206.0,12.965281962647184,False
20,front_r,neutral,208.0,13.039679432245633,False
20,front_r,neutral,210.0,13.154823499462115,False
20,front_r,neutral,212.0,13.286432501863656,False
20,front_r,neutral,214.0,13.43549808493667,False
20,front_r,neutral,216.0,13.602873324752819,False
20,front_r,neutral,218.0,13.789252843666,False
20,front_r,neutral,220.0,13.995153602638235,False
20,front_r,neutral,222.0,14.216666911064857,False
20,front_r,neutral,224.0,14.451005191623914,False
20,front_r,neutral,226.0,14.70107098276517,False
20,front_r,neutral,228.0,14.966160987837947,False
20,front_r,neutral,230.0,15.243202292182678,False
20,front_r,neutral,232.0,15.531855560931364,False
20,front_r,neutral,234.0,15.83776627659815,False
20,front_r,neutral,236.0,16.161465645223,False
20,front_r,neutral,238.0,16.501858711793805,False
20,front_r,neutral,240.0,16.8598083225302,False
20,front_r,neutral,242.0,17.23800468978089,False
20,front_r,neutral,244.0,17.631257497729436,False
20,front_r,neutral,246.0,18.036960890598447,False
20,front_r,neutral,248.0,18.450757172686064,False
20,front_r,neutral,250.0,18.870332809530787,False
20,front_r,neutral,252.0,19.294799349646805,False
20,front_r,neutral,254.0,19.723220229935198,False
20,front_r,neutral,256.0,20.15461088661796,False
20,front_r,neutral,258.0,20.58819516504026,False
20,front_r,neutral,260.0,21.02431443615895,False
20,front_r,neutral,262.0,21.463866480692683,False
20,front_r,neutral,264.0,21.86306681627014,False
20,front_r,neutral,266.0,22.149969670538365,False
20,front_r,neutral,268.0,22.451775373784557,False
20,front_r,neutral,270.0,22.76795257381592,False
20,front_r,neutral,272.0,23.097939435159617,False
20,front_r,neutral,274.0,23.439865858358523,False
20,front_r,neutral,276.0,23.791640776865425,False
20,front_r,neutral,278.0,24.152879107204626,False
20,front_r,neutral,280.0,24.52482136080067,False
20,front_r,neutral,282.0,24.907660956668185,False
20,front_r,neutral,284.0,25.300697887017353,False
20,front_r,neutral,286.0,25.703218020673784,False
20,front_r,neutral,288.0,26.114495421916175,False
20,front_r,neutral,290.0,26.5338038816789,False
20,front_r,neutral,292.0,26.960403972019495,False
20,front_r,neutral,294.0,27.394625586331124,False
20,front_r,neutral,296.0,27.83517230520907,False
20,front_r,neutral,298.0,28.280316510811012,False
20,front_r,neutral,300.0,28.728968501358978,False
20,front_r,neutral,302.0,29.180028868271695,False
20,front_r,neutral,304.0,29.635836995460348,False
20,front_r,neutral,306.0,30.09852565500177,False
20,front_r,neutral,308.0,30.566407201245084,False
20,front_r,neutral,310.0,31.033651562390055,False
20,front_r,neutral,312.0,31.498630679768407,False
20,front_r,neutral,314.0,31.9617032694626,False
20,front_r,neutral,316.0,32.4289919996501,False
20,front_r,neutral,318.0,32.89903120758484,False
20,front_r,neutral,320.0,33.36570307914949,False
20,front_r,neutral,322.0,33.82617287415032,False
20,front_r,neutral,324.0,34.34644510233002,False
20,front_r,neutral,326.0,34.9340430220985,False
20,front_r,neutral,328.0,35.55943967358344,False
20,front_r,neutral,330.0,36.127879563189914,False
20,front_r,neutral,332.0,36.68303765794822,False
20,front_r,neutral,334.0,37.16249290064412,False
20,front_r,neutral,336.0,37.626081544650376,False
20,front_r,neutral,338.0,38.02288803106021,False
20,front_r,neutral,340.0,38.42035368572801,False
20,front_r,neutral,342.0,38.75811791855398,False
20,front_r,neutral,344.0,39.08457810243959,False
20,front_r,neutral,346.0,39.35732009264684,False
20,front_r,neutral,348.0,39.6052264225941,False
20,front_r,neutral,350.0,39.789623046608234,False
20,front_r,neutral,352.0,39.9583795948058,False
20,front_r,neutral,354.0,40.072218273000495,False
20,front_r,neutral,356.0,40.163094644268824,False
20,front_r,neutral,358.0,40.22482130199826,False
20,front_r,neutral,360.0,40.23179761387325,False
0,front_r,apex,0.0,33.065829789002414,False
0,front_r,apex,2.0,32.93019457718288,False
0,front_r,apex,4.0,32.73131565785164,False
0,front_r,apex,6.0,32.531363533679766,False
0,front_r,apex,8.0,32.26583327238176,False
0,front_r,apex,10.0,31.974912592299237,False
0,front_r,apex,12.0,31.653509377077185,False
0,front_r,apex,14.0,31.27023099245765,False
0,front_r,apex,16.0,30.88725788796071,False
0,front_r,apex,18.0,30.44390910192389,False
0,front_r,apex,20.0,29.969624842955994,False
0,front_r,apex,22.0,29.47456039673754,False
0,front_r,apex,24.0,28.9117354064747,False
0,front_r,apex,26.0,28.3416144541886,False
0,front_r,apex,28.0,27.708606445093825,False
0,front_r,apex,30.0,27.06083790838546,False
0,front_r,apex,32.0,26.380526946232113,False
0,front_r,apex,34.0,25.64502647053059,False
0,front_r,apex,36.0,24.943503070767193,False
0,front_r,apex,38.0,24.314614733661752,False
0,front_r,apex,40.0,23.75635479825858,False
0,front_r,apex,42.0,23.185501768392005,False
0,front_r,apex,44.0,22.61431036803936,False
0,front_r,apex,46.0,22.04795741759278,False
0,front_r,apex,48.0,21.472475502327264,False
0,front_r,apex,50.0,20.888016921857787,False
0,front_r,apex,52.0,20.30674351960854,False
0,front_r,apex,54.0,19.731145471103194,False
0,front_r,apex,56.0,19.15188901201506,False
0,front_r,apex,58.0,18.570579578607106,False
0,front_r,apex,60.0,17.989392306865874,False
0,front_r,apex,62.0,17.416751677537647,False
0,front_r,apex,64.0,16.85354066510129,False
0,front_r,apex,66.0,16.293962625920898,False
0,front_r,apex,68.0,15.738690088250085,False
0,front_r,apex,70.0,15.185823234098804,False
0,front_r,apex,72.0,14.635768951715704,False
0,front_r,apex,74.0,14.09539502348658,False
0,front_r,apex,76.0,13.565849230470779,False
0,front_r,apex,78.0,13.04228731219651,False
0,front_r,apex,80.0,12.524952985268026,False
0,front_r,apex,82.0,12.015079105253754,False
0,front_r,apex,84.0,11.513887666032621,False
